Orig;V1;V2;V3;Orig/V3
17206000;12648000;10210000;10584000;1.62566
12875000;2626000;2721000;2857000;4.50648
3010000;2076000;1679000;1769000;1.70153
6559000;4921000;3360000;3477000;1.88640
5071000;2909000;2358000;2458000;2.06306
2939000;2467000;1803000;1833000;1.60338
1882000;1605000;1206000;1209000;1.55666
668000;367000;286000;296000;2.25676
71492000;40343000;21172000;22592000;3.16448
12964000;2535000;2602000;2754000;4.70733
2769000;1753000;1393000;1415000;1.95689
2809000;1960000;1640000;1680000;1.67202
569000;434000;300000;304000;1.87171
12773000;8446000;6906000;6935000;1.84182
15841999;12305000;9204000;9506000;1.66653
12988000;8866000;6781000;7129000;1.82185
318000;160000;151000;158000;2.01266
494000;231000;187000;187000;2.64171
26177000;21824000;15937000;16191000;1.61676
4085000;2632000;1848000;1898000;2.15227
869000;664000;523000;546000;1.59158
76228000;52250000;38994000;40812000;1.86778
5629000;106078000;70994000;2986000;1.88513
19659000;13183000;9021000;9541000;2.06048
21978000;13491000;8304000;8249000;2.66432
24096000;15488000;10774000;11279000;2.13636
4058000;2402000;1969000;1566000;2.59132
1751000;1313000;1006000;1030000;1.70000
685000;482000;347000;350000;1.95714
69478000;53723000;41299000;41914000;1.65763
3372000;2955000;2144000;2196000;1.53552
276000;169000;143000;146000;1.89041
18385000;13671000;10003000;10378000;1.77154
50740000;41734000;30424000;31237000;1.62436
78812000;54530000;40244000;42210000;1.86714
10002000;5638000;3842000;4056000;2.46598
41743000;23781000;18557000;19491000;2.14166
734000;529000;407000;406000;1.80788
62794000;33804000;29993000;30835000;2.03645
10015000;6485000;5279000;5431000;1.84404
266000;180000;158000;161000;1.65217
17830000;12624000;7983000;8302000;2.14768
2902000;2456000;1891000;1920000;1.51146
7974000;5625000;4362000;4566000;1.74639
14575000;10723000;6831000;6888000;2.11600
209559000;108240000;98361000;100320000;2.08891
5164000;3562000;2529000;2618000;1.97250
1760000;1409000;982000;1016000;1.73228
11431000;8956000;6240000;6330000;1.80585
15455000;4975000;5949000;6216000;2.48633
4877000;3762000;2649000;2697000;1.80831
3633000;2498000;1794000;1814000;2.00276
841000;626000;478000;481000;1.74844
4091000;2921000;1957000;1962000;2.08512
39066000;26110000;17899000;18898000;2.06720
1323000;420000;483000;514000;2.57393
12269000;2741000;3027000;3181000;3.85696
537000;324000;252000;257000;2.08949
5658000;4791000;3523000;3630000;1.55868
143000;82000;71000;66000;2.16667
48343000;33373000;25128000;25819000;1.87238
812000;492000;325000;331000;2.45317
24071000;8240000;8917000;8704000;2.76551
1943000;1548000;1148000;1212000;1.60314
212000;77000;85000;85000;2.49412
3654000;2636000;1671000;1701000;2.14815
3060000;2378000;1900000;1949000;1.57004
5382000;3011000;2384000;2479000;2.17104
1042000;837000;610000;621000;1.67794
4314000;3008000;1976000;2014000;2.14201
888000;156000;127000;125000;7.10400
550000;441000;342000;347000;1.58501
3462000;2621000;2056000;2114000;1.63765
393238000;266157000;221547000;230219000;1.70810
932000;713000;587000;615000;1.51545
2401000;2076000;1550000;1560000;1.53910
315239000;175270000;129090000;139240000;2.26400
3848000;2665000;2107000;2103000;1.82977
4042999;3004000;2019000;2070000;1.95314
15394000;12243000;8960000;9136000;1.68498
7834000;6389000;4827000;4896000;1.60008
970000;265000;287000;174000;5.57471
2859000;2058000;1384000;1401000;2.04069
2941000;1928000;1543000;1546000;1.90233
3821000;2496000;1905000;1948000;1.96150
2261000;1709000;1334000;1363000;1.65884
1225000;488000;438000;453000;2.70419
1615000;1203000;808000;826000;1.95521
2488000;1740000;1190000;1198000;2.07679
15140000;11884000;4186000;3603000;4.20205
3940000;2817000;2214000;2302000;1.71156
1559000;586000;599000;613000;2.54323
4031000;3356000;2643000;2675000;1.50692
632000;11680000;7955000;218000;2.89908
198000;168000;135000;134000;1.47761
1810000;1653000;1186000;1176000;1.53912
9907000;6792000;4471000;4688000;2.11327
1888000;1583000;1162000;1166000;1.61921
2069000;1782000;1332000;1325000;1.56151
39607000;29958000;22464000;22691000;1.74549
451000;374000;305000;324000;1.39198
3367000;2440000;1536000;1561000;2.15695
3823000;3283000;2556000;2610000;1.46475
5973000;4837000;3457000;3628000;1.64636
65642000;51969000;40802000;42018000;1.56224
1376000;974000;671000;716000;1.92179
10842000;7542000;5603000;5897000;1.83856
865000;675000;453000;458000;1.88865
1736000;1200000;1050000;895000;1.93966
6392000;2488000;2493000;2596000;2.46225
6522000;4931000;3380000;3374000;1.93302
805000;252000;259000;263000;3.06084
28126000;7992000;10080000;10621000;2.64815
82821000;55640000;35762000;37363000;2.21666
13061000;6541000;6073000;6154000;2.12236
1472000;1270000;987000;1010000;1.45743
4417000;2519000;1835000;1905000;2.31864
6378000;4014000;2863000;3070000;2.07752
