Orig;V1;V2
17206000;12648000;12654000
12875000;2626000;2732000
3010000;2076000;2101000
6559000;4921000;4914000
5071000;2909000;2998000
2939000;2467000;2477000
1882000;1605000;1602000
668000;367000;378000
71492000;40343000;40605000
12964000;2535000;2590000
2769000;1753000;1760000
2809000;1960000;1985000
569000;434000;429000
12773000;8446000;8594000
15841999;12305000;12310000
12988000;8866000;8917000
318000;160000;173000
494000;231000;228000
26177000;21824000;21754000
4085000;2632000;2632000
869000;664000;659000
76228000;52250000;53533000
5629000;106078000;107732000
19659000;13183000;13370000
21978000;13491000;13579000
24096000;15488000;15429000
4058000;2402000;2492000
1751000;1313000;1317000
685000;482000;481000
69478000;53723000;54443000
3372000;2955000;2948000
276000;169000;170000
18385000;13671000;13732000
50740000;41734000;41381000
78812000;54530000;55791000
10002000;5638000;5625000
41743000;23781000;24243000
734000;529000;533000
62794000;33804000;34483000
10015000;6485000;6771000
266000;180000;183000
17830000;12624000;12714000
2902000;2456000;2463000
7974000;5625000;5632000
14575000;10723000;10899000
209559000;108240000;113238000
5164000;3562000;3561000
1760000;1409000;1396000
11431000;8956000;8997000
15455000;4975000;5910000
4877000;3762000;3739000
3633000;2498000;2506000
841000;626000;630000
4091000;2921000;2895000
39066000;26110000;26121000
1323000;420000;495000
12269000;2741000;3050000
537000;324000;334000
5658000;4791000;4743000
143000;82000;85000
48343000;33373000;33527000
812000;492000;495000
24071000;8240000;9695000
1943000;1548000;1552000
212000;77000;85000
3654000;2636000;2630000
3060000;2378000;2374000
5382000;3011000;3095000
1042000;837000;827000
4314000;3008000;3011000
888000;156000;153000
550000;441000;437000
3462000;2621000;2635000
393238000;266157000;271396000
932000;713000;701000
2401000;2076000;2039000
315239000;175270000;179983000
3848000;2665000;2728000
4042999;3004000;2965000
15394000;12243000;12273000
7834000;6389000;6395000
970000;265000;299000
2859000;2058000;2067000
2941000;1928000;1976000
3821000;2496000;2584000
2261000;1709000;1726000
1225000;488000;553000
1615000;1203000;1200000
2488000;1740000;1684000
15140000;11884000;4444000
3940000;2817000;2826000
1559000;586000;647000
4031000;3356000;3365000
632000;11680000;11728000
198000;168000;167000
1810000;1653000;1639000
9907000;6792000;4791000
1888000;1583000;1587000
2069000;1782000;1766000
39607000;29958000;30008000
451000;374000;366000
3367000;2440000;2438000
3823000;3283000;3291000
5973000;4837000;4795000
65642000;51969000;52161000
1376000;974000;949000
10842000;7542000;7533000
865000;675000;672000
1736000;1200000;1302000
6392000;2488000;2720000
6522000;4931000;4928000
805000;252000;277000
28126000;7992000;10482000
82821000;55640000;56092000
13061000;6541000;6988000
