 Loading the index...
 Index loaded 909146849 bytes
Results: 
[1]: ?x2=24432226 ?x1=1802909 ?x3=24432227 
[2]: ?x2=24432226 ?x1=2646869 ?x3=24432227 
[3]: ?x2=24432226 ?x1=2649666 ?x3=24432227 
[4]: ?x2=24432226 ?x1=2653803 ?x3=24432227 
[5]: ?x2=24432226 ?x1=2657330 ?x3=24432227 
[6]: ?x2=24432226 ?x1=2661896 ?x3=24432227 
[7]: ?x2=24432226 ?x1=2679889 ?x3=24432227 
[8]: ?x2=24432226 ?x1=2688690 ?x3=24432227 
[9]: ?x2=24432226 ?x1=2696617 ?x3=24432227 
[10]: ?x2=24432226 ?x1=2696703 ?x3=24432227 
[11]: ?x2=24432226 ?x1=2697433 ?x3=24432227 
[12]: ?x2=24432226 ?x1=2703391 ?x3=24432227 
[13]: ?x2=24432226 ?x1=2703695 ?x3=24432227 
[14]: ?x2=24432226 ?x1=2710617 ?x3=24432227 
[15]: ?x2=24432226 ?x1=2717367 ?x3=24432227 
[16]: ?x2=24432226 ?x1=2748305 ?x3=24432227 
[17]: ?x2=24432226 ?x1=12018897 ?x3=24432227 
[18]: ?x2=24432226 ?x1=12018920 ?x3=24432227 
[19]: ?x2=24432226 ?x1=12019027 ?x3=24432227 
[20]: ?x2=24432226 ?x1=12019137 ?x3=24432227 
[21]: ?x2=24432226 ?x1=12019198 ?x3=24432227 
[22]: ?x2=24432226 ?x1=12590745 ?x3=24432227

[23]: ?x2=24432228 ?x1=1097912 ?x3=24432229 
[24]: ?x2=24432228 ?x1=1098648 ?x3=24432229 
[25]: ?x2=24432228 ?x1=1100631 ?x3=24432229 
[26]: ?x2=24432228 ?x1=1101313 ?x3=24432229 
[27]: ?x2=24432228 ?x1=2648585 ?x3=24432229 
[28]: ?x2=24432228 ?x1=2651227 ?x3=24432229 
[29]: ?x2=24432228 ?x1=2658691 ?x3=24432229 
[30]: ?x2=24432228 ?x1=2697441 ?x3=24432229 
[31]: ?x2=24432228 ?x1=2704909 ?x3=24432229 
[32]: ?x2=24432228 ?x1=2708693 ?x3=24432229 
[33]: ?x2=24432228 ?x1=2711297 ?x3=24432229 
[34]: ?x2=24432228 ?x1=2716344 ?x3=24432229 
[35]: ?x2=24432228 ?x1=2749957 ?x3=24432229 
[36]: ?x2=24432228 ?x1=3890707 ?x3=24432229 
[37]: ?x2=24432228 ?x1=3935420 ?x3=24432229 
[38]: ?x2=24432228 ?x1=3977703 ?x3=24432229 
[39]: ?x2=24432228 ?x1=3979627 ?x3=24432229 
[40]: ?x2=24432228 ?x1=3982615 ?x3=24432229 
[41]: ?x2=24432228 ?x1=3985033 ?x3=24432229 
[42]: ?x2=24432228 ?x1=3985453 ?x3=24432229 
[43]: ?x2=24432228 ?x1=3986351 ?x3=24432229 
[44]: ?x2=24432228 ?x1=3986868 ?x3=24432229 
[45]: ?x2=24432228 ?x1=3988028 ?x3=24432229 
[46]: ?x2=24432228 ?x1=12018916 ?x3=24432229 
[47]: ?x2=24432228 ?x1=12018917 ?x3=24432229 
[48]: ?x2=24432228 ?x1=12018931 ?x3=24432229 
[49]: ?x2=24432228 ?x1=12018932 ?x3=24432229 
[50]: ?x2=24432228 ?x1=12018935 ?x3=24432229 
[51]: ?x2=24432228 ?x1=12018950 ?x3=24432229 
[52]: ?x2=24432228 ?x1=12019010 ?x3=24432229 
[53]: ?x2=24432228 ?x1=12019012 ?x3=24432229 
[54]: ?x2=24432228 ?x1=12019023 ?x3=24432229 
[55]: ?x2=24432228 ?x1=12019027 ?x3=24432229 
[56]: ?x2=24432228 ?x1=12019056 ?x3=24432229 
[57]: ?x2=24432228 ?x1=12019064 ?x3=24432229 
[58]: ?x2=24432228 ?x1=12019065 ?x3=24432229 
[59]: ?x2=24432228 ?x1=12019066 ?x3=24432229 
[60]: ?x2=24432228 ?x1=12019078 ?x3=24432229 
[61]: ?x2=24432228 ?x1=12019115 ?x3=24432229 
[62]: ?x2=24432228 ?x1=12019153 ?x3=24432229 
[63]: ?x2=24432228 ?x1=12029098 ?x3=24432229 
[64]: ?x2=24432228 ?x1=12034902 ?x3=24432229 
[65]: ?x2=24432228 ?x1=12038941 ?x3=24432229 
[66]: ?x2=24432228 ?x1=12039685 ?x3=24432229 
[67]: ?x2=24432228 ?x1=12040820 ?x3=24432229 
[68]: ?x2=24432228 ?x1=12040987 ?x3=24432229 
[69]: ?x2=24432228 ?x1=12040990 ?x3=24432229 
[70]: ?x2=24432228 ?x1=12041027 ?x3=24432229 
[71]: ?x2=24432228 ?x1=12041031 ?x3=24432229 
[72]: ?x2=24432228 ?x1=12041037 ?x3=24432229 
[73]: ?x2=24432228 ?x1=12041424 ?x3=24432229 
[74]: ?x2=24432228 ?x1=12041504 ?x3=24432229 
[75]: ?x2=24432228 ?x1=12041505 ?x3=24432229 
[76]: ?x2=24432228 ?x1=12041507 ?x3=24432229 
[77]: ?x2=24432228 ?x1=12041511 ?x3=24432229 
[78]: ?x2=24432228 ?x1=12041577 ?x3=24432229 
[79]: ?x2=24432228 ?x1=12041805 ?x3=24432229 
[80]: ?x2=24432228 ?x1=12041806 ?x3=24432229 
[81]: ?x2=24432228 ?x1=12041807 ?x3=24432229 
[82]: ?x2=24432228 ?x1=12041808 ?x3=24432229 
[83]: ?x2=24432228 ?x1=12041810 ?x3=24432229 
[84]: ?x2=24432228 ?x1=12041849 ?x3=24432229 
[85]: ?x2=24432228 ?x1=12041858 ?x3=24432229 
[86]: ?x2=24432228 ?x1=12041859 ?x3=24432229 
[87]: ?x2=24432228 ?x1=12041889 ?x3=24432229 
[88]: ?x2=24432228 ?x1=12041899 ?x3=24432229 
[89]: ?x2=24432228 ?x1=12041943 ?x3=24432229 
[90]: ?x2=24432228 ?x1=12041962 ?x3=24432229 
[91]: ?x2=24432228 ?x1=12042009 ?x3=24432229 
[92]: ?x2=24432228 ?x1=12042010 ?x3=24432229 
[93]: ?x2=24432228 ?x1=12042015 ?x3=24432229 
[94]: ?x2=24432228 ?x1=12042042 ?x3=24432229 
[95]: ?x2=24432228 ?x1=12042043 ?x3=24432229 
[96]: ?x2=24432228 ?x1=12042044 ?x3=24432229 
[97]: ?x2=24432228 ?x1=12042048 ?x3=24432229 
[98]: ?x2=24432228 ?x1=12042049 ?x3=24432229 
[99]: ?x2=24432228 ?x1=12042050 ?x3=24432229 
[100]: ?x2=24432228 ?x1=12042063 ?x3=24432229 
[101]: ?x2=24432228 ?x1=12042065 ?x3=24432229 
[102]: ?x2=24432228 ?x1=12042165 ?x3=24432229 
[103]: ?x2=24432228 ?x1=12042170 ?x3=24432229 
[104]: ?x2=24432228 ?x1=12042184 ?x3=24432229 
[105]: ?x2=24432228 ?x1=12590743 ?x3=24432229 
[106]: ?x2=24432228 ?x1=12590744 ?x3=24432229 
[107]: ?x2=24432228 ?x1=14619604 ?x3=24432229 
[108]: ?x2=24432228 ?x1=15803810 ?x3=24432229 
0;108;646000
