 Loading the index...
 Index loaded 1758051510 bytes
Results: 
[1]: ?x2=24432226 ?x1=1181549 ?x3=24432227 
[2]: ?x2=24432226 ?x1=4188098 ?x3=24432227 
[3]: ?x2=24432226 ?x1=4401498 ?x3=24432227 
[4]: ?x2=24432226 ?x1=4401640 ?x3=24432227 
[5]: ?x2=24432226 ?x1=4401818 ?x3=24432227 
[6]: ?x2=24432226 ?x1=4402234 ?x3=24432227 
[7]: ?x2=24432226 ?x1=4427052 ?x3=24432227 
[8]: ?x2=24432226 ?x1=4427104 ?x3=24432227 
[9]: ?x2=24432226 ?x1=4428035 ?x3=24432227 
[10]: ?x2=24432226 ?x1=4428072 ?x3=24432227 
[11]: ?x2=24432226 ?x1=4428110 ?x3=24432227 
[12]: ?x2=24432226 ?x1=4428151 ?x3=24432227 
[13]: ?x2=24432226 ?x1=4428217 ?x3=24432227 
[14]: ?x2=24432226 ?x1=4428237 ?x3=24432227 
[15]: ?x2=24432226 ?x1=4428282 ?x3=24432227 
[16]: ?x2=24432226 ?x1=4428349 ?x3=24432227 
[17]: ?x2=24432226 ?x1=4428417 ?x3=24432227 
[18]: ?x2=24432226 ?x1=4428423 ?x3=24432227 
[19]: ?x2=24432226 ?x1=4428523 ?x3=24432227 
[20]: ?x2=24432226 ?x1=4428532 ?x3=24432227 
[21]: ?x2=24432226 ?x1=4428578 ?x3=24432227 
[22]: ?x2=24432226 ?x1=4428636 ?x3=24432227
 
[23]: ?x2=24432228 ?x1=1181549 ?x3=24432229 
[24]: ?x2=24432228 ?x1=2682408 ?x3=24432229 
[25]: ?x2=24432228 ?x1=2704110 ?x3=24432229 
[26]: ?x2=24432228 ?x1=4400349 ?x3=24432229 
[27]: ?x2=24432228 ?x1=4400546 ?x3=24432229 
[28]: ?x2=24432228 ?x1=4400567 ?x3=24432229 
[29]: ?x2=24432228 ?x1=4400643 ?x3=24432229 
[30]: ?x2=24432228 ?x1=4401030 ?x3=24432229 
[31]: ?x2=24432228 ?x1=4401356 ?x3=24432229 
[32]: ?x2=24432228 ?x1=4427583 ?x3=24432229 
[33]: ?x2=24432228 ?x1=4427703 ?x3=24432229 
[34]: ?x2=24432228 ?x1=4428005 ?x3=24432229 
[35]: ?x2=24432228 ?x1=4428013 ?x3=24432229 
[36]: ?x2=24432228 ?x1=4428019 ?x3=24432229 
[37]: ?x2=24432228 ?x1=4428029 ?x3=24432229 
[38]: ?x2=24432228 ?x1=4428039 ?x3=24432229 
[39]: ?x2=24432228 ?x1=4428043 ?x3=24432229 
[40]: ?x2=24432228 ?x1=4428045 ?x3=24432229 
[41]: ?x2=24432228 ?x1=4428056 ?x3=24432229 
[42]: ?x2=24432228 ?x1=4428084 ?x3=24432229 
[43]: ?x2=24432228 ?x1=4428096 ?x3=24432229 
[44]: ?x2=24432228 ?x1=4428104 ?x3=24432229 
[45]: ?x2=24432228 ?x1=4428117 ?x3=24432229 
[46]: ?x2=24432228 ?x1=4428149 ?x3=24432229 
[47]: ?x2=24432228 ?x1=4428151 ?x3=24432229 
[48]: ?x2=24432228 ?x1=4428153 ?x3=24432229 
[49]: ?x2=24432228 ?x1=4428181 ?x3=24432229 
[50]: ?x2=24432228 ?x1=4428302 ?x3=24432229 
[51]: ?x2=24432228 ?x1=4428322 ?x3=24432229 
[52]: ?x2=24432228 ?x1=4428339 ?x3=24432229 
[53]: ?x2=24432228 ?x1=4428357 ?x3=24432229 
[54]: ?x2=24432228 ?x1=4428359 ?x3=24432229 
[55]: ?x2=24432228 ?x1=4428393 ?x3=24432229 
[56]: ?x2=24432228 ?x1=4428399 ?x3=24432229 
[57]: ?x2=24432228 ?x1=4428409 ?x3=24432229 
[58]: ?x2=24432228 ?x1=4428478 ?x3=24432229 
[59]: ?x2=24432228 ?x1=4428510 ?x3=24432229 
[60]: ?x2=24432228 ?x1=4428552 ?x3=24432229 
[61]: ?x2=24432228 ?x1=4428560 ?x3=24432229 
[62]: ?x2=24432228 ?x1=4428572 ?x3=24432229 
[63]: ?x2=24432228 ?x1=4428588 ?x3=24432229 
[64]: ?x2=24432228 ?x1=4428596 ?x3=24432229 
[65]: ?x2=24432228 ?x1=4428602 ?x3=24432229 
[66]: ?x2=24432228 ?x1=4428638 ?x3=24432229 
[67]: ?x2=24432228 ?x1=4428650 ?x3=24432229 
[68]: ?x2=24432228 ?x1=4428654 ?x3=24432229 
[69]: ?x2=24432228 ?x1=4428702 ?x3=24432229 
[70]: ?x2=24432228 ?x1=4428705 ?x3=24432229 
[71]: ?x2=24432228 ?x1=4428711 ?x3=24432229 
[72]: ?x2=24432228 ?x1=4428713 ?x3=24432229 
[73]: ?x2=24432228 ?x1=4428718 ?x3=24432229 
[74]: ?x2=24432228 ?x1=4428722 ?x3=24432229 
[75]: ?x2=24432228 ?x1=4428744 ?x3=24432229 
[76]: ?x2=24432228 ?x1=4428748 ?x3=24432229 
[77]: ?x2=24432228 ?x1=4428752 ?x3=24432229 
[78]: ?x2=24432228 ?x1=4428760 ?x3=24432229 
[79]: ?x2=24432228 ?x1=4428774 ?x3=24432229 
[80]: ?x2=24432228 ?x1=4428784 ?x3=24432229 
[81]: ?x2=24432228 ?x1=4428816 ?x3=24432229 
[82]: ?x2=24432228 ?x1=4428820 ?x3=24432229 
[83]: ?x2=24432228 ?x1=4428826 ?x3=24432229 
[84]: ?x2=24432228 ?x1=4428840 ?x3=24432229 
[85]: ?x2=24432228 ?x1=4428844 ?x3=24432229 
[86]: ?x2=24432228 ?x1=4428848 ?x3=24432229 
[87]: ?x2=24432228 ?x1=4428852 ?x3=24432229 
[88]: ?x2=24432228 ?x1=4428866 ?x3=24432229 
[89]: ?x2=24432228 ?x1=4428868 ?x3=24432229 
[90]: ?x2=24432228 ?x1=4428870 ?x3=24432229 
[91]: ?x2=24432228 ?x1=4428872 ?x3=24432229 
[92]: ?x2=24432228 ?x1=4428874 ?x3=24432229 
[93]: ?x2=24432228 ?x1=9517346 ?x3=24432229 
[94]: ?x2=24432228 ?x1=11470696 ?x3=24432229 
[95]: ?x2=24432228 ?x1=11524617 ?x3=24432229 
[96]: ?x2=24432228 ?x1=11552896 ?x3=24432229 
[97]: ?x2=24432228 ?x1=11711328 ?x3=24432229 
[98]: ?x2=24432228 ?x1=11772711 ?x3=24432229 
0;98;542000
